id,en,vi,wordClass
0,character,"tính cách,đặc tính",n
1,living,"sống,đang sống",adj
2,housing,nơi ăn chốn ở,n
3,success,"sự thành công,sự thành đạt",n
4,household,"hộ,gia đình",n
5,household,gia đình,adj
6,massive,"to lớn,đồ sộ",adj
7,plot,"mảnh đất nhở,sơ đồ,đồ thị",n
8,plot,"vẽ sơ đồ,dựng đồ án",v
9,require,"đòi hỏi,yêu cầu",v
10,gold,vàng,n
11,gold,bằng vàng,adj
12,planet,hành tinh,n
13,hollow,"rỗng,trống rỗng",adj
14,space,"khoảng trống,khoảng cách",n
15,railway,đường sắt,n
16,invention,"sự phát minh,sự sáng chế",n
17,result,kết quả,n
18,result,"bởi,do.. mà ra",v
19,autumn,mùa thu,n
20,violence,"sự ác liệt,sự dữ dội",n
21,want,muốn,v
22,gray,"xám,hoa râm",adj
23,grant,"cho,ban",v
24,grant,"sự cho,sự ban",n
25,clearly,"rõ ràng,sáng sủa",adv
26,reality,"sự thật,thực tế",n
27,agree,"đồng ý,tán thành",v
28,beneath,"ở dưới,dưới thấp",prep
29,core,"nòng cốt,hạt nhân",n
30,enthusiasm,"sự hăng hái,sự nhiệt tình",n
31,ocean,đại dương,n
32,tie,"buộc,cột",v
33,tie,"dây buộc,dây trói",n
34,mentally,về mặt tinh thần,adv
35,flame,ngọn lửa,n
36,consideration,"sự cân nhắc,sự xem xét,sự để ý",n
37,quick,nhanh,adj
38,chemical,thuộc hóa học,adj
39,chemical,"chất hóa học,hóa chất",n
40,afford,"có thể,có đủ khả năng",v
41,below,"ở dưới,dưới thấp",prep
42,coloured,"mang màu sắc,có màu sắc",adj
43,divorced,đã ly dị,adj
44,impose,"đánh,bắt gánh vác",v
46,whenever,"bất cứ lúc nào,lúc nào",conj
47,poem,bài thơ,n
48,surprise,"sự ngạc nhiên,sự bất ngờ",n
49,surprise,làm ngạc nhiên,v
50,emotionally,xúc động,adv
51,fishing,"sự câu cá,sự đánh cá",n
52,unhappiness,"nỗi buồn,sự bất hạnh",n
53,height,"chiều cao,độ cao",n
54,intention,"ý định,mục đích",n
55,partnership,"sự chung phần,sự cộng tác",n
56,loan,sự vay mượn,n
57,feature,"nét đặt biệt,điểm đặc trưng",n
58,feature,mô tả nét đặc biệt,v
59,tent,"lều,rạp",n
60,disapprove of,"không tán thành,phản đối",v
61,centre,"điểm giữa,trung tâm",n
62,thanks,"sự cảm ơn,lời cảm ơn",n
63,shop,cửa hàng,n
64,shop,"đi mua hàng,đi chợ",v
65,dangerous,nguy hiểm,adj
66,region,"vùng,miền",n
67,track,phần của đĩa,n
68,military,"quân đội,quân sự",adj
69,confirm,"xác nhận,chứng thực",v
70,opponent,"địch thủ,đối thủ",n
71,easily,dễ dàng,adv
72,apparently,"nhìn bên ngoài,hình như",adv
73,artistic,"thuộc nghệ thuật,thuộc mỹ thuật",adj
74,far,xa,adv
75,farmer,"nông dân,người chủ trại",n
76,brain,óc não,n
77,pleasantly,"vui vẻ,dễ thương",adv
78,economy,"sự tiết kiệm,sự quản lý kinh tế",n
79,estimate,"sự ước lượng,đánh giá",n
80,estimate,"ước lượng,đánh giá",v
81,plenty,"pro nhiều,sự thừa",n
82,plenty,"sự sung túc,sự phong phú",adv
83,metal,kim loại,n
84,signal,"dấu hiệu,tín hiệu",n
85,signal,"ra hiệu,báo hiệu",v
86,historical,"lịch sử,thuộc lịch sử",adj
87,separated,ly thân,adj
88,common,"công,công cộng,thông thường",adj
89,agency,"tác dụng,lực",n
90,bitter,đắng,adj
91,moment,"chốc,lát",n
92,respect,"sự kính trọng,sự lễ phép",n
93,respect,"tôn trọng,kính trọng",v
94,vision,"sự nhìn,thị lực",n
95,waist,"eo,chỗ thắt lưng",n
96,sudden,"thình lình,đột ngột",adj
97,pencil,bút chì,n
98,admit,"nhận vào,cho vào",v
99,recording,"sự ghi,sự thu âm",n
100,happen,"xảy ra,xảy đến",v
101,highly,"tốt,cao",adv
102,reference,"sự tham khảo,hỏi ý kiến",n
103,independently,độc lập,adv
104,freeze,"sự đông lạnh,sự giá lạnh",n
105,freeze,"làm đông,làm đóng băng",v
106,pension,"tiền trợ cấp,lương hưu",n
107,promise,"hứa,lời hứa",v
108,varied,"thuộc nhiều loại khác nhau,những vẻ đa dạng",adj
109,sticky,"dính,nhớt",adj
110,function,chức năng,n
111,function,"họat động,chạy",v
112,history,"lịch sử,sử học",n
113,priority,"sự ưu tế,quyền ưu tiên",n
114,up,"ở trên,lên trên",adv
115,promote,"thăng chức,thăng cấp",v
116,wake,"thức dậy,tỉnh thức",v
117,genuine,"thành thật,chân thật",adj
119,pollution,sự ô nhiễm,n
120,industry,"công nghiệp,kỹ nghệ",n
121,enough,pro đủ,n
122,understanding,"trí tuệ,sự hiểu biết",n
123,diet,"chế độ ăn uống,chế độ ăn kiêng",n
124,following,"prep.tiếp theo,theo sau",adj
125,following,"sau,tiếp theo",n
126,discuss,"thảo luận,tranh luận",v
127,accurate,"đúng đắn,chính xác",adj
128,blankly,"ngây ra,không có thần",adv
129,serve,"phục vụ,phụng sự",v
130,side,"mặt,mặt phẳng",n
131,unfortunate,"không may,rủi ro",adj
132,occasionally,"thỉnh thoảng,đôi khi",adv
133,advanced,"tiên tiến,tiến bộ",adj
134,ton,tấn,n
135,unfriendly,"không thân thiện,không có thiện cảm",adj
136,writing,sự viết,n
137,suffering,"sự đau đớn,sự đau khổ",n
138,appreciate,thấy rõ,v
139,government,"chính phủ,nội các",n
140,determine,"xác định,định rõ",v
141,spite,"sự giận,sự hận thù",n
142,famous,nổi tiếng,adj
143,long,"dài,xa",adj
144,long,lâu,adv
145,injured,"bị tổn thương,bị xúc phạm",adj
146,injury,"sự làm tổn thương,làm hại",n
147,actual,"thực tế,có thật",adj
148,unfortunately,"một cách đáng tiếc,một cách không may",adv
149,slip,"trượt,tuột,trôi qua",v
150,sweet,"ngọt,có vị ngọt",adj
151,sweet,"sự ngọt bùi,đồ ngọt",n
152,ball,quả bóng,n
153,way,"đường,đường đi",n
154,bottle,"chai,lọ",n
155,give birth,sinh ra,+to
156,pale,"tái,nhợt",adj
157,delight,"sự vui thích,sự vui sướng",n
158,delight,"làm vui thích,làm say mê",v
159,appointment,"sự bổ nhiệm,người được bổ nhiệm",n
160,shade,"bóng,bóng tối",n
161,own,"pro của chính mình,tự mình",adj
162,own,"nhận,nhìn nhận",n
163,gentle,"hiền lành,dịu dàng",adj
164,employ,"dùng,thuê ai làm gì",v
165,risk,"sự liều,mạo hiểm",n
166,risk,liều,v
167,logic,lô gic,n
168,nut,quả hạch,n
169,interest,"sự thích thú,sự quan tâm",n
170,interest,"làm quan tâm,chú ý",v
171,cloud,"mây,đám mây",n
172,committee,ủy ban,n
173,necessary,"cần,cần thiết",adj
174,ending,"sự kết thúc,sự chấm dứt",n
175,building,"sự xây dựng,công trình xây dựng",n
176,train,"xe lửa,tàu hỏa",n
177,train,"dạy,rèn luyện",v
178,exit,"lỗi ra,sự đi ra",n
179,make up,"đồ hóa trang,son phấn",n
180,size,cỡ,n
181,rail,đường ray,n
182,skill,"kỹ năng,kỹ sảo",n
183,candidate,"người ứng cử,thí sinh",n
184,summer,mùa hè,n
185,guarantee,"sự bảo hành,bảo lãnh",n
186,guarantee,"cam đoan,đảm bảo",v
187,rest,"sự nghỉ ngơi,lúc nghỉ",n
188,rest,"nghỉ,nghỉ ngơi",v
189,interpret,giải thích,v
190,impossible,"không thể làm được,không thể xảy ra",adj
191,broad,rộng,adj
192,appearance,"sự xuất hiện,sự trình diện",n
193,decoration,"sự trang hoàng,đồ trang hoàng",n
194,surrounding,"bao quanh,vây quanh",adj
195,tiring,"sự mệt mỏi,sự mệt nhọc",adj
196,garbage,"lòng,ruột",n
197,argument,lý lẽ,n
198,speech,"sự nói,khả năng nói,lời nói",n
199,telephone,"máy điện thoại,gọi điện thoại",n
200,perfectly,một cách hoàn hảo,adv
201,plain,"ngay thẳng,đơn giản",adj
202,finished,"hoàn tất,hoàn thành",adj
203,harmless,không có hại,adj
204,determination,"sự xác định,sự định rõ",n
205,withdraw,"rút,rút khỏi",v
206,cake,bánh ngọt,n
207,insect,"sâu bọ,côn trùng",n
208,direction,"sự điều khiển,sự chỉ huy",n
209,contact,"sự liên lạc,sự giao thiệp",n
210,contact,tiếp xúc,v
211,racing,cuộc đua,n
212,grey,"xám,hoa râm",adj
213,regret,"đáng tiếc,hối tiếc",v
